id1,id2,power
25850.0,25839.0,-0.0016
25839.0,25829.0,-0.0024000000000000002
25894.0,25906.0,0.004
25906.0,25926.0,0.0024000000000000002
25926.0,25937.0,0.0016
25937.0,25946.0,0.0008
25906.0,25903.0,0.0016
25971.0,25972.0,-0.0008
26055.0,17136.0,-0.0008
17136.0,17149.0,-0.004
17149.0,16301.0,-0.0048000000000000004
16301.0,16310.0,0.0008
26122.0,16301.0,-0.0008
17136.0,17297.0,0.0032
17297.0,26105.0,0.0008
17297.0,26004.0,0.0008
26075.0,17149.0,-0.0008
26241.0,15408.0,-0.0008
15408.0,15409.0,-0.0088
15409.0,26271.0,-0.010400000000000001
15408.0,26263.0,0.0008
26249.0,15409.0,-0.0016
26304.0,26303.0,-0.0008
26338.0,26379.0,-0.0016
26433.0,18564.0,-0.0032
20735.0,20751.0,0.010400000000000001
26488.0,26466.0,0.0016
26466.0,26496.0,0.0008
20776.0,20810.0,-0.0008
20810.0,20815.0,-0.0024000000000000002
20850.0,20869.0,-0.0016
20885.0,20901.0,-0.0008
