ID,X,Y,Voltage,Power,Cluster
15132.0,1108443.7791199973,319557.1015827932,0.904,0.634,47
15190.0,1107860.4386580144,319507.846973366,0.904,1.35,47
25531.0,1107134.5490626846,318835.5289571573,0.906,0.873,47
25582.0,1108907.908314242,319357.21501104464,0.904,0.342,47
25628.0,1125088.5435942914,319546.6601683029,0.996,0.324,48
25647.0,1124726.4173760393,319939.4420132516,0.996,0.955,48
15789.0,1092793.702588683,321117.37031021394,0.994,0.0,49
16195.0,1092819.471821961,321390.8676281302,0.994,0.0,49
16202.0,1093079.612007322,321840.70564171573,0.994,0.0,49
25667.0,1092522.8059551814,320768.01111620216,0.995,1.032,49
25685.0,1092738.44922877,320978.7308968232,0.994,0.174,49
25689.0,1092096.151295995,320990.22431902576,0.995,0.481,49
25720.0,1093114.6236586592,321179.90552596404,0.994,0.59,49
25725.0,1092550.063562328,321248.11634337326,0.994,0.868,49
25754.0,1092562.5056495129,321547.16973710014,0.994,1.035,49
25794.0,1093128.148178788,321820.4004087762,0.994,0.796,49
25814.0,1093234.1973562269,322013.97666762595,0.994,0.168,49
25817.0,1092545.899819443,322033.60739318456,0.994,1.018,49
25671.0,1092514.27177209,320830.2938029606,0.995,0.0,49
25739.0,1092685.2538811185,321412.2752527968,0.994,0.0,49
20649.0,1109335.8815251992,311020.6310360802,0.927,0.245,5
20653.0,1109773.4677830422,311139.8121549569,0.927,0.167,5
20669.0,1108952.840102009,311502.88582831697,0.927,0.197,5
20687.0,1109276.575368124,311751.33959385386,0.927,0.759,5
20712.0,1108949.0802725835,311962.3038803072,0.927,0.473,5
20698.0,1109192.622948558,311813.4034273997,0.927,0.0,5
25829.0,1124776.9857877095,321172.8615896599,0.996,0.267,50
25839.0,1124891.5551241532,321700.7076690785,0.996,0.423,50
25850.0,1124896.835789298,322121.18200046336,0.996,1.023,50
25868.0,1123469.0271902885,321371.8280795213,0.996,0.525,51
25894.0,1091477.2589904168,321485.96135236986,0.995,0.613,52
25903.0,1091156.3409835007,321722.33537464985,0.994,1.149,52
25926.0,1091698.6136837872,322097.0350771884,0.994,0.823,52
25937.0,1091455.1739144227,322262.59153708076,0.994,0.639,52
25946.0,1091137.533505598,322414.7029729476,0.994,0.428,52
25906.0,1091501.3119886732,321753.69102583925,0.994,0.0,52
25971.0,1109340.9772403748,321921.9962822217,0.904,0.997,53
25972.0,1109163.9015766012,321928.6817805062,0.904,0.996,53
16301.0,1105208.597747445,323373.0713231808,0.904,0.0,54
17136.0,1104515.2955899965,322941.1889819914,0.904,0.0,54
17149.0,1104969.2473369427,323032.1770091522,0.904,0.0,54
16310.0,1104863.3097711606,323744.98632931034,0.904,0.485,54
17297.0,1104326.1638112534,322883.54249739845,0.904,0.0,54
26004.0,1104312.9899082726,322375.11148587463,0.904,0.706,54
26055.0,1104572.529907514,322890.8034182362,0.904,0.656,54
26075.0,1105167.771518792,322949.1774363317,0.904,0.235,54
26105.0,1104689.675400771,323126.51891799644,0.904,0.311,54
26122.0,1105122.410988296,323239.05370461434,0.904,0.182,54
18269.0,1103651.0971876043,322846.5980543761,0.904,1.741,55
15408.0,1110135.46965267,323012.54628944164,0.904,0.0,56
15409.0,1109971.9463520737,323016.5059318294,0.904,0.0,56
26241.0,1110447.438138919,322762.7016298126,0.904,0.373,56
26249.0,1109896.29985729,322839.18095005024,0.904,1.395,56
26263.0,1110172.9265050888,323073.007098182,0.904,0.248,56
26271.0,1109641.2884312766,323085.0636999425,0.904,0.33,56
26303.0,1118390.41434376,325982.4387445682,0.904,0.335,57
26304.0,1118953.4039740686,325987.74970232585,0.904,0.681,57
26338.0,1111332.6919557708,326635.5827179475,0.904,1.278,58
26379.0,1111460.3309757728,327142.53653569036,0.904,0.567,58
18564.0,1111778.3221333015,327741.7699390532,0.904,1.465,59
26433.0,1111296.4868250922,327793.65202719736,0.904,0.665,59
20735.0,1098756.694836037,311691.0598721568,1.0,0.486,6
20751.0,1099235.3385657065,311920.0848368964,0.999,1.385,6
