X,Y,geometry,ID,Elevation,Slope,Land_cover,Protected_area,Road_dist,River_flow
1096518.1212461155,309864.74535690405,POINT (1096518.121246116 309864.7453569041),128,1093,0.15408790111541748,4,False,916.709955859112,
1096718.1212461155,309864.74535690405,POINT (1096718.121246116 309864.7453569041),129,1087,0.292188435792923,4,False,954.9503330570159,
1096918.1212461155,309864.74535690405,POINT (1096918.121246116 309864.7453569041),130,1087,0.30334609746932983,4,False,798.5486477674684,
1097118.1212461155,309864.74535690405,POINT (1097118.121246116 309864.7453569041),131,1090,0.2847305238246918,4,False,662.5185905877529,
1097318.1212461155,309864.74535690405,POINT (1097318.121246116 309864.7453569041),132,1095,0.22540684044361115,4,False,550.3164975878525,
1097518.1212461155,309864.74535690405,POINT (1097518.121246116 309864.7453569041),133,1099,0.21876317262649536,4,False,486.5861151865504,
1097718.1212461155,309864.74535690405,POINT (1097718.121246116 309864.7453569041),134,1103,0.21665732562541962,4,False,303.65556671884286,
1097918.1212461155,309864.74535690405,POINT (1097918.121246116 309864.7453569041),135,1105,0.16840164363384247,4,False,103.73013987364135,
1098318.1212461155,309864.74535690405,POINT (1098318.121246116 309864.7453569041),136,1030,0.2050008773803711,4,False,279.2187862647388,
1098518.1212461155,309864.74535690405,POINT (1098518.121246116 309864.7453569041),137,1110,0.25740256905555725,4,False,426.5358258744004,
1098718.1212461155,309864.74535690405,POINT (1098718.121246116 309864.7453569041),138,1108,0.3335380554199219,4,False,533.178563276561,
1098918.1212461155,309864.74535690405,POINT (1098918.121246116 309864.7453569041),139,1108,0.3144165873527527,4,False,613.7704639151029,
1099118.1212461155,309864.74535690405,POINT (1099118.121246116 309864.7453569041),140,1107,0.19270630180835724,4,False,682.1061171776687,
1099318.1212461155,309864.74535690405,POINT (1099318.121246116 309864.7453569041),141,1109,0.2106495052576065,1,False,781.0952664044738,
1099518.1212461155,309864.74535690405,POINT (1099518.121246116 309864.7453569041),142,1105,0.18691584467887878,1,False,889.3345629899999,
1099718.1212461155,309864.74535690405,POINT (1099718.121246116 309864.7453569041),143,1100,0.16018512845039368,4,False,1024.998900509404,
1099918.1212461155,309864.74535690405,POINT (1099918.121246116 309864.7453569041),144,1100,0.19490866363048553,4,False,944.7186377937253,
1100118.1212461155,309864.74535690405,POINT (1100118.121246116 309864.7453569041),145,1105,0.13921791315078735,4,False,785.4486308515636,
1100318.1212461155,309864.74535690405,POINT (1100318.121246116 309864.7453569041),146,1105,0.18458744883537292,4,False,649.1269512340091,
1100518.1212461155,309864.74535690405,POINT (1100518.121246116 309864.7453569041),147,1105,0.353220134973526,4,False,552.9937123784713,
1100718.1212461155,309864.74535690405,POINT (1100718.121246116 309864.7453569041),148,1112,0.35987311601638794,1,False,506.9008271513149,
1100918.1212461155,309864.74535690405,POINT (1100918.121246116 309864.7453569041),149,1118,0.5340631008148193,1,False,463.68863414941706,
1101118.1212461155,309864.74535690405,POINT (1101118.121246116 309864.7453569041),150,1116,0.48938846588134766,1,False,417.06113848288334,
1101318.1212461155,309864.74535690405,POINT (1101318.121246116 309864.7453569041),151,1114,0.48926612734794617,1,False,327.5379628956738,
1101518.1212461155,309864.74535690405,POINT (1101518.121246116 309864.7453569041),152,1106,0.34202149510383606,1,False,175.96990785377042,
1101718.1212461155,309864.74535690405,POINT (1101718.121246116 309864.7453569041),153,1098,0.24669641256332397,4,False,1.980411845685075,
1101918.1212461155,309864.74535690405,POINT (1101918.121246116 309864.7453569041),154,1089,0.1363641768693924,1,False,130.5277782344503,
1102118.1212461155,309864.74535690405,POINT (1102118.121246116 309864.7453569041),155,1086,0.19041164219379425,1,False,189.79526593365748,
1102318.1212461155,309864.74535690405,POINT (1102318.121246116 309864.7453569041),156,1086,0.18252690136432648,1,False,258.67923118049197,
1102518.1212461155,309864.74535690405,POINT (1102518.121246116 309864.7453569041),157,1082,0.1537613868713379,1,False,331.3898796283062,
1102718.1212461155,309864.74535690405,POINT (1102718.121246116 309864.7453569041),158,1077,0.29575666785240173,1,False,406.39323443775226,
1102918.1212461155,309864.74535690405,POINT (1102918.121246116 309864.7453569041),159,1077,0.23743388056755066,1,False,468.7428001884632,
1103118.1212461155,309864.74535690405,POINT (1103118.121246116 309864.7453569041),160,1079,0.22350138425827026,4,False,524.227921743571,
1103318.1212461155,309864.74535690405,POINT (1103318.121246116 309864.7453569041),161,1079,0.23725439608097076,1,False,591.6966577207037,
1103518.1212461155,309864.74535690405,POINT (1103518.121246116 309864.7453569041),162,1078,0.3059389889240265,1,False,710.9113556415593,
1103718.1212461155,309864.74535690405,POINT (1103718.121246116 309864.7453569041),163,1074,0.22501929104328156,1,False,858.473820089364,
1103918.1212461155,309864.74535690405,POINT (1103918.121246116 309864.7453569041),164,1068,0.07046394795179367,4,False,1008.0734722808808,
1104118.1212461155,309864.74535690405,POINT (1104118.121246116 309864.7453569041),165,1062,0.1413610875606537,4,False,1142.3388799066095,
1104318.1212461155,309864.74535690405,POINT (1104318.121246116 309864.7453569041),166,1058,0.24718953669071198,3,False,1273.6904092806785,
1104518.1212461155,309864.74535690405,POINT (1104518.121246116 309864.7453569041),167,1055,0.20163895189762115,1,False,1414.1666720305154,
1104718.1212461155,309864.74535690405,POINT (1104718.121246116 309864.7453569041),168,1053,0.18027544021606445,4,False,1559.8283288594469,
1104918.1212461155,309864.74535690405,POINT (1104918.121246116 309864.7453569041),169,1053,0.25035780668258667,1,False,1585.0759465599576,
1105118.1212461155,309864.74535690405,POINT (1105118.121246116 309864.7453569041),170,1050,0.2906549274921417,4,False,1537.3796289286395,
1107718.1212461155,309864.74535690405,POINT (1107718.121246116 309864.7453569041),171,1034,0.1109759733080864,1,False,1260.4668709949153,
1107918.1212461155,309864.74535690405,POINT (1107918.121246116 309864.7453569041),172,1032,0.12878963351249695,1,False,1115.2640665107904,
1116518.1212461155,309864.74535690405,POINT (1116518.121246116 309864.7453569041),173,1026,0.3443108797073364,1,False,787.6336039248317,
1116718.1212461155,309864.74535690405,POINT (1116718.121246116 309864.7453569041),174,1030,0.14626702666282654,1,False,875.1532716837806,
1116918.1212461155,309864.74535690405,POINT (1116918.121246116 309864.7453569041),175,1033,0.19255872070789337,1,False,995.7006597597651,
1117118.1212461155,309864.74535690405,POINT (1117118.121246116 309864.7453569041),176,1040,0.1536903977394104,1,False,1094.7337572803856,
1117318.1212461155,309864.74535690405,POINT (1117318.121246116 309864.7453569041),177,1048,0.3185112178325653,1,False,926.8738452332786,
1117518.1212461155,309864.74535690405,POINT (1117518.121246116 309864.7453569041),178,1053,0.4460177421569824,1,False,774.4341486697351,
1117718.1212461155,309864.74535690405,POINT (1117718.121246116 309864.7453569041),179,1055,0.23072029650211334,1,False,639.8654121289919,
1117918.1212461155,309864.74535690405,POINT (1117918.121246116 309864.7453569041),180,1053,0.2427857667207718,1,False,471.1621974526696,
1118118.1212461155,309864.74535690405,POINT (1118118.121246116 309864.7453569041),181,1050,0.29874321818351746,1,False,338.4669658590809,
1118318.1212461155,309864.74535690405,POINT (1118318.121246116 309864.7453569041),182,1045,0.12506742775440216,1,False,295.1710650576645,
1118518.1212461155,309864.74535690405,POINT (1118518.121246116 309864.7453569041),183,1047,0.15064412355422974,1,False,356.1837471461408,
1118718.1212461155,309864.74535690405,POINT (1118718.121246116 309864.7453569041),184,1050,0.2074180245399475,4,False,221.64636533695918,
1118918.1212461155,309864.74535690405,POINT (1118918.121246116 309864.7453569041),185,1048,0.23823034763336182,4,False,226.68780470749545,
1119118.1212461155,309864.74535690405,POINT (1119118.121246116 309864.7453569041),186,1044,0.31869930028915405,4,False,365.57845989489374,
1119318.1212461155,309864.74535690405,POINT (1119318.121246116 309864.7453569041),187,1045,0.2735142111778259,4,False,543.974135299778,
1120118.1212461155,309864.74535690405,POINT (1120118.121246116 309864.7453569041),188,1054,0.167918860912323,1,False,579.0200014948903,
1120318.1212461155,309864.74535690405,POINT (1120318.121246116 309864.7453569041),189,1052,0.15598233044147491,1,False,617.0726403760272,
1120518.1212461155,309864.74535690405,POINT (1120518.121246116 309864.7453569041),190,1049,0.1068381518125534,1,False,711.5427779621833,
1120718.1212461155,309864.74535690405,POINT (1120718.121246116 309864.7453569041),191,1045,0.08678001165390015,1,False,843.686912450134,
1095118.1212461155,310064.74535690405,POINT (1095118.121246116 310064.7453569041),192,940,0.26413825154304504,4,False,78.50510015901929,
1095318.1212461155,310064.74535690405,POINT (1095318.121246116 310064.7453569041),193,964,0.2288171499967575,4,False,15.617715553675248,
1095518.1212461155,310064.74535690405,POINT (1095518.121246116 310064.7453569041),194,1110,0.3982929289340973,4,False,205.55722029908677,
1095718.1212461155,310064.74535690405,POINT (1095718.121246116 310064.7453569041),195,1103,0.3664167821407318,4,False,405.29449613220635,
1095918.1212461155,310064.74535690405,POINT (1095918.121246116 310064.7453569041),196,1096,0.1383763700723648,4,False,469.18668052704714,
1096118.1212461155,310064.74535690405,POINT (1096118.121246116 310064.7453569041),197,1096,0.1834932416677475,4,False,524.8997650084283,
1096318.1212461155,310064.74535690405,POINT (1096318.121246116 310064.7453569041),198,1094,0.19484204053878784,4,False,634.3640846249161,
1096518.1212461155,310064.74535690405,POINT (1096518.121246116 310064.7453569041),199,1087,0.29535484313964844,4,False,780.0664649150547,
1096718.1212461155,310064.74535690405,POINT (1096718.121246116 310064.7453569041),200,1084,0.38329941034317017,4,False,945.5192902785657,
1096918.1212461155,310064.74535690405,POINT (1096918.121246116 310064.7453569041),201,1086,0.2869082987308502,4,False,943.8828310767788,
1097118.1212461155,310064.74535690405,POINT (1097118.121246116 310064.7453569041),202,1088,0.2764313519001007,4,False,823.8741876892576,
1097318.1212461155,310064.74535690405,POINT (1097318.121246116 310064.7453569041),203,1092,0.22688935697078705,4,False,731.9338699413747,
1097518.1212461155,310064.74535690405,POINT (1097518.121246116 310064.7453569041),204,1095,0.24678559601306915,4,False,543.4262291687068,
1097718.1212461155,310064.74535690405,POINT (1097718.121246116 310064.7453569041),205,1098,0.22941258549690247,4,False,354.26001709338357,
1097918.1212461155,310064.74535690405,POINT (1097918.121246116 310064.7453569041),206,1104,0.17510099709033966,4,False,167.51602058284874,
1098118.1212461155,310064.74535690405,POINT (1098118.121246116 310064.7453569041),207,1112,0.2715933918952942,4,False,15.228614490034282,
1098318.1212461155,310064.74535690405,POINT (1098318.121246116 310064.7453569041),208,1116,0.19073106348514557,4,False,145.1441748607683,
1098518.1212461155,310064.74535690405,POINT (1098518.121246116 310064.7453569041),209,1116,0.19470776617527008,4,False,257.63314535129746,
1098718.1212461155,310064.74535690405,POINT (1098718.121246116 310064.7453569041),210,1115,0.1660166233778,4,False,389.55942985186965,
1098918.1212461155,310064.74535690405,POINT (1098918.121246116 310064.7453569041),211,1113,0.2182018905878067,4,False,419.589380341906,
1099118.1212461155,310064.74535690405,POINT (1099118.121246116 310064.7453569041),212,1111,0.21781878173351288,4,False,514.4023919193411,
1099318.1212461155,310064.74535690405,POINT (1099318.121246116 310064.7453569041),213,1109,0.17575500905513763,1,False,609.4519020237184,
1099518.1212461155,310064.74535690405,POINT (1099518.121246116 310064.7453569041),214,1105,0.12702935934066772,1,False,742.3869624375155,
