X,Y,ID,Elevation,Weight
1095318.1212461155,310464.74535690405,378,1100,1.5
1095518.1212461155,310464.74535690405,379,1096,1.5
1095718.1212461155,310464.74535690405,380,1096,1.5
1095918.1212461155,310464.74535690405,381,1093,1.5
1096118.1212461155,310464.74535690405,382,1086,2.1459500145159183
1096318.1212461155,310464.74535690405,383,1079,3.1124562627558205
1096518.1212461155,310464.74535690405,384,1079,4.09819140940778
1096718.1212461155,310464.74535690405,385,1085,5.091172772036502
1096918.1212461155,310464.74535690405,386,1092,4.580732722737393
1097118.1212461155,310464.74535690405,387,1099,3.786210956052282
1097318.1212461155,310464.74535690405,388,1101,3.104578788044609
1097518.1212461155,310464.74535690405,389,1102,2.5125423761829424
1097718.1212461155,310464.74535690405,390,1103,2.3802565832166778
1097918.1212461155,310464.74535690405,391,1108,1.7278960812272401
1098118.1212461155,310464.74535690405,392,1115,1.5
1098318.1212461155,310464.74535690405,393,1123,1.7030026475564148
1098518.1212461155,310464.74535690405,394,1125,2.0202443968829034
1098718.1212461155,310464.74535690405,395,1121,1.5
1098918.1212461155,310464.74535690405,396,1118,1.5
1099118.1212461155,310464.74535690405,397,1118,1.9010180139211141
1099318.1212461155,310464.74535690405,398,1117,2.717451747772704
1099518.1212461155,310464.74535690405,399,1112,3.3585682223802102
1099718.1212461155,310464.74535690405,400,1111,4.181426717375888
1099918.1212461155,310464.74535690405,401,1114,5.070502715727978
1100118.1212461155,310464.74535690405,402,1118,4.609177701215673
1100318.1212461155,310464.74535690405,403,1119,4.234542084456882
1100518.1212461155,310464.74535690405,404,1122,4.145757002792956
1100718.1212461155,310464.74535690405,405,1125,4.36369797647923
1100918.1212461155,310464.74535690405,406,1123,4.753220046781677
1101118.1212461155,310464.74535690405,407,1114,5.23193088749606
1101318.1212461155,310464.74535690405,408,1109,4.560982273707015
1101518.1212461155,310464.74535690405,409,1107,3.949372089690749
1101718.1212461155,310464.74535690405,410,1104,3.4560105224394873
1101918.1212461155,310464.74535690405,411,1101,3.201057472606511
1102118.1212461155,310464.74535690405,412,1103,2.8749498396233863
1102318.1212461155,310464.74535690405,413,1104,2.487654174502513
1102518.1212461155,310464.74535690405,414,1095,1.6958958129795163
1102718.1212461155,310464.74535690405,415,1089,1.5
1102918.1212461155,310464.74535690405,416,1086,1.5
1103118.1212461155,310464.74535690405,417,1083,1.5
1103318.1212461155,310464.74535690405,418,1080,1.8108848561094342
1103518.1212461155,310464.74535690405,419,1074,2.517853142982088
1103718.1212461155,310464.74535690405,420,1069,3.130276607781347
1103918.1212461155,310464.74535690405,421,1065,3.831592734510413
1104118.1212461155,310464.74535690405,422,1061,4.570605340593342
1104318.1212461155,310464.74535690405,423,1058,5.386208524151405
1104518.1212461155,310464.74535690405,424,1053,6.003361370031879
1104718.1212461155,310464.74535690405,425,1048,6.002221359400306
1104918.1212461155,310464.74535690405,426,1046,6.002264865706384
1105118.1212461155,310464.74535690405,427,1043,5.78514052801807
1105318.1212461155,310464.74535690405,428,1041,5.531112937973136
1105518.1212461155,310464.74535690405,429,1039,5.261866838874191
1105718.1212461155,310464.74535690405,430,1039,5.218475404603014
1105918.1212461155,310464.74535690405,431,1042,5.331558962619087
1107118.1212461155,310464.74535690405,432,1027,6.00494557656271
1107318.1212461155,310464.74535690405,433,1030,6.007690634663661
1107518.1212461155,310464.74535690405,434,1037,5.801014269634271
1107718.1212461155,310464.74535690405,435,1042,5.21322745565245
1107918.1212461155,310464.74535690405,436,1041,4.438692299266313
1108118.1212461155,310464.74535690405,437,1035,3.8084754139994534
1108318.1212461155,310464.74535690405,438,1030,3.1070645871565654
1108518.1212461155,310464.74535690405,439,1029,2.3465175192038616
1108718.1212461155,310464.74535690405,440,1028,2.089171032736896
1108918.1212461155,310464.74535690405,441,1026,2.0567342206788535
1109118.1212461155,310464.74535690405,442,1024,1.5
1109318.1212461155,310464.74535690405,443,1021,1.5
1109518.1212461155,310464.74535690405,444,1017,2.077200843770295
1109718.1212461155,310464.74535690405,445,1014,3.0751393977925714
1109918.1212461155,310464.74535690405,446,1014,4.07480724381518
1110118.1212461155,310464.74535690405,447,1013,5.014344331347786
1115718.1212461155,310464.74535690405,448,1025,3.7071054489403044
1115918.1212461155,310464.74535690405,449,1027,2.829517806680891
1116118.1212461155,310464.74535690405,450,1029,1.9898580748628576
1116318.1212461155,310464.74535690405,451,1033,1.7837274025808174
1116518.1212461155,310464.74535690405,452,1037,2.5011341516853713
1116718.1212461155,310464.74535690405,453,1039,3.426933979845542
1116918.1212461155,310464.74535690405,454,1043,4.397096429144584
1117118.1212461155,310464.74535690405,455,1044,5.379865233202219
1117318.1212461155,310464.74535690405,456,1046,6.002737876332101
1117518.1212461155,310464.74535690405,457,1047,6.003807324268227
1117718.1212461155,310464.74535690405,458,1045,6.005669751709881
1117918.1212461155,310464.74535690405,459,1041,5.836484414577479
1118118.1212461155,310464.74535690405,460,1035,5.550340070114011
1118318.1212461155,310464.74535690405,461,1031,5.472515913205465
1118518.1212461155,310464.74535690405,462,1035,5.266394535770035
